title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;Organização AZ;;;\w*\W*
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].name;name;SIM;;;80;string;Empresa A1;;;\w*\W*
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;Número completo do CNPJ da instituição responsável pela dependência - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica.Deve-se ter apenas os números do CNPJ, sem máscara;14;14;string;45086338000178;;;"^(\d{14})$|^NA$"
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].identification.type;type;NÃO;Tipo de dependência.;;;string;POSTO_ATENDIMENTO;POSTO_ATENDIMENTO, UNIDADE_ADMINISTRATIVA_DESMEMBRADA;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].identification.code;code;NÃO;Código identificador da dependência;;4;string;1;;;"^\d{4}$|^NA$"
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].identification.checkDigit;checkDigit;NÃO;Dígito verificador do código da dependência;;1;string;9;;;\w*\W*
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].identification.name;name;NÃO;Nome da dependência;;100;string;Marília;;;\w*\W*
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.address;address;SIM;Deverá trazer toda a informação referente ao endereço da dependência informada. Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver).;;150;string;Av Naburo Ykesaki 1270, bloco 35, fundos;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.additionalInfo;additionalInfo;NÃO;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir.;;30;string;Loja B;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.districtName;districtName;SIM;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas.;;50;string;Centro;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.townName;townName;SIM;O nome da localidade corresponde à designação da cidade ou município no qual o endereço está localizado.;;50;string;São Paulo;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.ibgeCode;ibgeCode;SIM;Código IBGE de Município. A Tabela de Códigos de Municípios do IBGE apresenta a lista dos municípios brasileiros associados a um código composto de 7 dígitos, sendo os dois primeiros referentes ao código da Unidade da Federação.;;7;string;3550308;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.countrySubDivision;countrySubDivision;SIM;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. São consideradas apenas as siglas para os estados brasileiros.;;2;string;SP;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.postCode;postCode;SIM;Código de Endereçamento Postal. Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios.;;8;string;17500-001;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.country;country;NÃO;Nome do país.;;80;string;Brasil;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/branches;get - 200;Método para obter a listagem de dependências próprias da instituição.;Obtém a listagem de dependências próprias da instituição.;.data.brand.companies[0].branches[0].postalAddress.countryCode;countryCode;NÃO;Código do país de acordo com o código “alpha3” do ISO-3166.;;3;string;BRA;;;
