title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;"Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela II.6 do Anexo II.""";;141;string;COBERTURA_BASICA_AMPLA_COBERTURAS_PARA_QUAISQUER_EVENTOS_QUE_POSSAM_CAUSAR_DANOS_FISICOS_AO_IMOVEL_SEGURADO_EXCETO_OS_EXPRESSAMENTE_EXCLUIDOS;COBERTURA_BASICA_AMPLA_COBERTURAS_PARA_QUAISQUER_EVENTOS_QUE_POSSAM_CAUSAR_DANOS_FISICOS_AO_IMOVEL_SEGURADO_EXCETO_OS_EXPRESSAMENTE_EXCLUIDOS, COBERTURA_BASICA_SIMPLES_COBERTURAS_DE_INCENDIO_QUEDA_DE_RAIO_DENTRO_DO_TERRENO_SEGURADO_E_EXPLOSAO_DE_QUALQUER_NATUREZA, ANUNCIOS_LUMINOSOS, DANOS_AO_JARDIM, DANOS_ELETRICOS, DESMORONAMENTO, DESPESAS_COM_ALUGUEL, EQUIPAMENTOS, FIDELIDADE_DE_EMPREGADOS, IMPACTO_DE_VEICULOS, VIDA_E_ACIDENTES_PESSOAIS_EMPREGADOS, LUCROS_CESSANTES, QUEBRA_DE_VIDROS_ESPELHOS_MARMORES_E_GRANITOS, RESPONSABILIDADE_CIVIL, ROUBO, VALORES, VAZAMENTO, VENDAVAL, ALAGAMENTO, TUMULTO, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos;;3000;string;descrição cobertura;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;2;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;5;string;REAL;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.insuredParticipation[0];insuredParticipation;SIM;;;13;string;POS;POS, FRANQUIA, NAO_SE_APLICA;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.insuredParticipationDescription;insuredParticipationDescription;NÃO;Lista com descrição referente ao campo “Participação do Segurado” para cada cobertura.;;1024;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].coverages[0].allowApartPurchase;allowApartPurchase;SIM;Indicação se a cobertura permite contratação separada (por cobertura selecionada).;;;boolean;true;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].propertyType[0].insuredPropertyType;insuredPropertyType;SIM;;;22;string;CONDOMINIO_RESIDENCIAL;CONDOMINIO_RESIDENCIAL, CONDOMINIO_COMERCIAL, CONDOMINIO_MISTOS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].propertyType[0].structuringType;structuringType;SIM;;;21;string;;CONDOMINIO_HORIZONTAL, CONDOMINIO_VERTICAL, MISTO;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].commercializationArea;commercializationArea;NÃO;Deve ser informado o CEP do imóvel. Campo de entrada na AP;;8;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].assistanceServices[0].assistanceServices;assistanceServices;SIM;Indicação se o produto possui serviços de assistências complementares.;;;boolean;true;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].assistanceServices[0].assistanceServicesPackage[0];assistanceServicesPackage;NÃO;Para efeitos de comparabilidade considerar agrupamentos de serviços em 4 categorias, conforme os domínios;;17;string;ATE_10_SERVICOS;ATE_10_SERVICOS, ATE_20_SERVICOS, ACIMA_20_SERVICOS, CUSTOMIZAVEL;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].assistanceServices[0].complementaryAssistanceServicesDetail;complementaryAssistanceServicesDetail;NÃO;Campo livre para descrição dos serviços ofertados por cada sociedade participante, contendo minimamente cada um dos serviços assistenciais complementares oferecidos e se o pacote se trata de uma cobertura de assistência securitária ou se serviços de assistência;;1000;string;reboque pane seca;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].assistanceServices[0].chargeTypeSignaling;chargeTypeSignaling;NÃO;Indicação se o pacote de Assistência é gratuita ou contratada/paga.;;8;string;GRATUITO;GRATUITO, PAGO;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].microInsurance;microInsurance;SIM;Indicação se o produto é classificado como microsseguro.;;;boolean;true;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].traits;traits;SIM;Indicação se o produto é classificado como destinado para cobertura de grandes riscos, sendo tal classificação de acordo com regulamentação específica;;;boolean;true;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].validity[0].term[0];term;SIM;;;23;string;ANUAL;ANUAL, ANUAL_INTERMITENTE, PLURIANUAL, PLURIANUAL_INTERMITENTE, MENSAL, MENSAL_INTERMITENTE, DIARIO, DIARIO_INTERMITENTE, OUTROS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].validity[0].termOthers;termOthers;NÃO;Campo livre para descrição por cada participante ao selecionar o domínio “Outros” no campo Prazo (acima).;;100;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].premiumPayment[0].paymentMethod;paymentMethod;SIM;Metodo de pagamento;;33;string;;CARTAO_DE_CREDITO, CARTAO_DE_DEBITO, DEBITO_EM_CONTA_CORRENTE, DEBITO_EM_CONTA_POUPANCA, BOLETO_BANCARIO, PIX, CONSIGNACAO_EM_FOLHA_DE_PAGAMENTO, PONTOS_DE_PROGRAMA_DE_BENEFICIO, OUTROS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].premiumPayment[0].paymentDetail;paymentDetail;NÃO;Campo livre para descrição por cada participante ao selecionar o domínio “Outros” no campo Meio de pagamento (acima);;100;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].premiumPayment[0].paymentType[0];paymentType;SIM;;;9;string;A_VISTA;A_VISTA, PARCELADO;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].premiumPayment[0].premiumRates;premiumRates;NÃO;Distribuição de frequência relativa aos valores referentes às taxas cobradas, nos termos do Anexo III;;1024;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/condominium/;get - 200;Obtem a lista dos produtos do tipo Condomínio;Obtem a lista dos produtos do tipo Condomínio;.data.brand.companies[0].products[0].termsAndConditions.susepProcessNumber;susepProcessNumber;NÃO;Número do processo SUSEP.;;20;string;15414.622222/2222-22;;;
