title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].name;name;NÃO;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas;;;string;OBRAS_CIVIS_CONSTRUCAO_E_INSTALACAO_E_MONTAGEM;OBRAS_CIVIS_CONSTRUCAO_E_INSTALACAO_E_MONTAGEM, AFRETAMENTOS_DE_AERONAVES, ARMAZENAGEM_FORA_DO_CANTEIRO_DE_OBRAS_OU_LOCAL_SEGURADO, DANOS_EM_CONSEQUENCIA_DE_ERRO_DE_PROJETO_RISCO_DO_FABRICANTE, DANOS_MORAIS, DESPESAS_COM_DESENTULHO_DO_LOCAL, DESPESAS_DE_SALVAMENTO_E_CONTENCAO_DE_SINISTROS, DESPESAS_EXTRAORDINARIAS, EQUIPAMENTOS_DE_ESCRITORIO_E_INFORMATICA, EQUIPAMENTOS_MOVEIS_ESTACIONARIOS_UTILIZADOS_NA_OBRA, FERRAMENTAS_DE_PEQUENO_E_MEDIO_PORTE, HONORARIOS_DE_PERITO, INCENDIO_APOS_O_TERMINO_DE_OBRAS_ATE_30_DIAS_EXCETO_PARA_REFORMAS_AMPLIACOES, LUCROS_CESSANTES, MANUTENCAO_AMPLA_ATE_24_MESES, MANUTENCAO_SIMPLES_ATE_24_MESES, OBRAS_CONCLUIDAS, OBRAS_TEMPORARIAS, OBRAS_INSTALACOES_CONTRATADAS_ACEITAS_E_OU_COLOCADAS_EM_OPERACAO, PROPRIEDADES_CIRCUNVIZINHAS, RECOMPOSICAO_DE_DOCUMENTOS, RESPONSABILIDADE_CIVIL_EMPREGADOR, FUNDACAO, STANDS_DE_VENDA, TRANSPORTE_TERRESTRE, TUMULTOS_GREVES_E_LOCKOUT, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos;;3000;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;2;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;5;string;REAL;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].coverages[0].allowApartPurchase;allowApartPurchase;SIM;Indicação se a cobertura permite contratação separada (por cobertura selecionada).;;;boolean;;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].traits;traits;SIM;Indicação se o produto é classificado como destinado para cobertura de grandes riscos, sendo tal classificação de acordo com regulamentação específica;;;boolean;;;;
APIs Open Data do Open Insurance Brasil;1.0.1;/engineering/;get - 200;Obtem a lista dos produtos do tipo Engineering;Obtem a lista dos produtos do tipo Engineering;.data.brand.companies[0].products[0].microinsurance;microinsurance;SIM;Indicação se o produto é classificado como microsseguro;;;boolean;;;;
