title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Nome Cobertura Contratatada - Básica;;;string;;LICITANTE, CONSTRUCAO_OBRAS, FORNECIMENTO, PRESTACAO_DE_SERVICOS, RETENCAO_DE_PAGAMENTOS, ADIANTAMENTO_DE_PAGAMENTOS, MANUTENCAO_CORRETIVA, JUDICIAL, JUDICIAL_CIVIL, JUDICIAL_TRABALHISTA, JUDICIAL_TRIBUTARIO, JUDICIAL_DEPOSITO_RECURSAL, JUDICIAL_PARA_EXECUCAO_FISCAL, PARCELAMENTO_ADMINISTRATIVO, ADUANEIRO, ADMINISTRATIVO_DE_CREDITOS_TRIBUTARIOS, ACOES_TRABALHISTAS_E_PREVIDENCIARIAS, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;Descrição Cobertura Contratatada - Básica;;3000;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/public-guarantee/;get - 200;Obtem a lista dos produtos do tipo Garantia Pública;Obtem a lista dos produtos do tipo Garantia Pública;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;;string;REAL;;;
