title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].name;name;SIM;Nome da Instituição, pertencente à Marca.;;80;string;Empresa da Organização A;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;80;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas;;40;string;;DANOS_ELETRICOS, DANOS_FISICOS_AO_CONTEUDO, DANOS_FISICOS_AO_IMOVEL, MORTE_OU_INVALIDEZ_TOTAL_PERMANENTE, PAGAMENTO_DE_ALUGUEL, RESPONSABILIDADE_CIVIL_DO_CONSTRUTOR_RCC, ROUBO_E_FURTO_AO_CONTEUDO, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos a ser feito por cada participante;;3000;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].allowApartPurchase;allowApartPurchase;SIM;Permissão para Contratação Separada;;;boolean;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;2;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;5;string;REAL;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.insuredParticipation[0];insuredParticipation;SIM;;;13;string;FRANQUIA;FRANQUIA, POS, NAO_SE_APLICA;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.insuredParticipationDescription;insuredParticipationDescription;SIM;Lista com descrição referente ao campo “Participação do Segurado” para cada cobertura.;;1024;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].additional[0];additional;SIM;;;19;string;;SORTEIO_GRATUITO, CLUBE_DE_BENEFICIOS, CASHBACK, DESCONTOS, OUTROS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].additionalOthers;additionalOthers;NÃO;Campo livre para descrição por cada participante ao selecionar o domínio “Outros” no campo Prazo (acima) OBS: Condicional a seleção de 5. Outros no campo acima;;100;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].premiumRates;premiumRates;NÃO;Distribuição de frequência relativa aos valores referentes às taxas cobradas.;;1024;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].termsAndConditions.susepProcessNumber;susepProcessNumber;SIM;Número do processo SUSEP.;;20;string;15414622222222222;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].termsAndConditions.definition;definition;SIM;Campo aberto (possibilidade de incluir uma url).;;1024;string;https://www.seguradora.com.br/produto/tradicional/pdf/condicoes_gerais.pdf;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].minimumRequirements.minimumRequirementDetails;minimumRequirementDetails;SIM;Campo aberto contendo todos os requisitos mínimos para contratação (possibilidade de incluir URL).;;1024;string;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.data.brand.companies[0].products[0].minimumRequirements.targetAudiences[0];targetAudiences;SIM;;;30;string;PESSOA_FISICA;PESSOA_FISICA, PESSOA_JURIDICA;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.links.self;self;NÃO;URL da página atualmente requisitada;;;string;https://api.organizacao.com.br/open-insurance/products-services/v1;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.links.first;first;NÃO;URL da primeira página de registros;;;string;https://api.organizacao.com.br/open-insurance/products-services/v1;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.links.prev;prev;NÃO;URL da página anterior de registros;;;string;https://api.organizacao.com.br/open-insurance/products-services/v1;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.links.next;next;NÃO;URL da próxima página de registros;;;string;https://api.organizacao.com.br/open-insurance/products-services/v1;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.links.last;last;NÃO;URL da última página de registros;;;string;https://api.organizacao.com.br/open-insurance/products-services/v1;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.meta.totalRecords;totalRecords;SIM;Total de registros encontrados;;;integer;10;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/housing/;get - 200;Obtem a lista dos produtos do tipo Habitacional;Obtem a lista dos produtos do tipo Habitacional;.meta.totalPages;totalPages;SIM;Total de páginas para os registros encontrados;;;integer;1;;;
