title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.data[0].brand;brand;SIM;Nome da marca reportada pelo participante do Open Insurance;;80;string;;;;
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.data[0].companies[0].companyName;companyName;SIM;Nome da sociedade pertencente à marca;;200;string;;;;
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.data[0].companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca;;;string;12345678901234;;;^\d{14}$
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.data[0].companies[0].policies[0];policies;SIM;policyId - Identificador da apólice;;60;string;42;;;
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.links.self;self;NÃO;URL da página atualmente requisitada;;;string;https://api.organizacao.com.br/open-insurance/insurance-responsibility/v1/insurance-responsibility;;;^(https:\/\/)(.*?)(\/open-insurance\/insurance-responsibility\/v\d+)(\/insurance-responsibility.*)?$
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.links.first;first;NÃO;URL da primeira página de registros;;;string;https://api.organizacao.com.br/open-insurance/insurance-responsibility/v1/insurance-responsibility;;;^(https:\/\/)(.*?)(\/open-insurance\/insurance-responsibility\/v\d+)(\/insurance-responsibility.*)?$
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.links.prev;prev;NÃO;URL da página anterior de registros;;;string;https://api.organizacao.com.br/open-insurance/insurance-responsibility/v1/insurance-responsibility;;;^(https:\/\/)(.*?)(\/open-insurance\/insurance-responsibility\/v\d+)(\/insurance-responsibility.*)?$
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.links.next;next;NÃO;URL da próxima página de registros;;;string;https://api.organizacao.com.br/open-insurance/insurance-responsibility/v1/insurance-responsibility;;;^(https:\/\/)(.*?)(\/open-insurance\/insurance-responsibility\/v\d+)(\/insurance-responsibility.*)?$
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.links.last;last;NÃO;URL da última página de registros;;;string;https://api.organizacao.com.br/open-insurance/insurance-responsibility/v1/insurance-responsibility;;;^(https:\/\/)(.*?)(\/open-insurance\/insurance-responsibility\/v\d+)(\/insurance-responsibility.*)?$
API InsuranceResponsibility - Open Insurance Brasil;1.3.0;/insurance-responsibility;get - 200;Método para obter a lista de identificação de InsuranceResponsibility;Obtem a lista de identificação de InsuranceResponsibility;.meta.totalRecords;totalRecords;SIM;Total de registros encontrados;;;integer;10;;;
