title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].name;name;SIM;Nome da sociedade supervisionada participante;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade supervisionada participante;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].name;name;SIM;Nome ou razão social (pessoa jurídica) do intermediário;;80;string;Intermediário C;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].nameOther;nameOther;NÃO;No caso da Pessoa jurídica;;80;string;Intermediário D;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].documentNumber;documentNumber;NÃO;CPF ou CNPJ do intermediário OBS: Opcional para pessoa natural;;14;string;12341234123412;;;"^\d{11}|\d{14}$"
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].type;type;SIM;Relação de tipos de intermediário;;39;string;CORRETOR_DE_SEGUROS;CORRETOR_DE_SEGUROS, REPRESENTANTE_DE_SEGUROS, AGENTES_DE_SEGUROS, DISTRIBUIDOR_DE_TITULO_DE_CAPITALIZACAO;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].SUSEP;SUSEP;NÃO;Número de Registro SUSEP no caso de intermediário ser Corretor de Seguros. OBS: Condicional a seleção de 1. Corretor de seguros no campo acima;;20;string;15414622222222222;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].postalAddress[0].address;address;SIM;Deverá trazer toda a informação referente ao endereço do intermediário: Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver);;150;string;'Rua Diamantina, 59, bloco 35' Praça da Boa Vontade, s/n;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/intermediary/{countrySubDivision};get - 200;Obtem a lista dos produtos do tipo Intermediarios;Obtem a lista dos produtos do tipo Intermediarios;.data.brand.companies[0].identification[0].postalAddress[0].additionalInfo;additionalInfo;NÃO;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';;30;string;Loja B;;;
