title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela II.9 do Anexo II.;;80;string;;ALAGAMENTO_E_OU_INUNDACAO, ANUNCIOS_E_ANTENAS, ASSISTENCIAS_TECNICAS_E_MECANICAS, CONDOMINIOS_PROPRIETARIOS_E_LOCATARIOS_DE_IMOVEIS, CUSTOS_DE_DEFESA_DO_SEGURADO, DANOS_CAUSADOS_POR_FALHAS_DE_PROFISSIONAL_DA_AREA_MEDICA, DANOS_CAUSADOS_POR_FOGOS_DE_ARTIFICIO, DANOS_ESTETICOS, DANOS_MORAIS, DESPESAS_EMERGENCIAIS_DESPESAS_DE_CONTENCAO_E_DESPESAS_DE_SALVAMENTO_DE_SINISTRO, EMPREGADOR_EMPREGADOS, EMPRESAS_DE_SERVICOS, EQUIPAMENTOS_DE_TERCEIROS_OPERADOS_PELO_SEGURADO, ERRO_DE_PROJETO, EXCURSOES_EVENTOS_EXPOSICOES_E_ATIVIDADES, FAMILIAR, FINANCEIRO, FORO, INDUSTRIA_E_COMERCIO, LOCAIS_E_OU_ESTABELECIMENTOS_DE_QUALQUER_NATUREZA, OBRAS, OPERACOES_DE_QUALQUER_NATUREZA, POLUICAO, PRESTACAO_DE_SERVICOS, PRODUTOS, RECALL, RECLAMACOES_DECORRENTES_DO_FORNECIMENTO_DE_COMESTIVEIS_OU_BEBIDAS, SINDICO, TELEFERICOS_E_SIMILARES, TRANSPORTE_DE_BENS_OU_PESSOAS, VEICULOS_EMBARCACOES_BENS_E_MERCADORIAS, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos;;3000;string;descrição cobertura;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;2;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/general-liability/;get - 200;Obtem a lista dos produtos do tipo GeneralLiability;Obtem a lista dos produtos do tipo GeneralLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;5;string;REAL;;;
