title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].name;name;SIM;Nome ou razão social do prestador de serviço;;80;string;Empresa B;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].cnpjNumber;cnpjNumber;SIM;CNPJ do prestador de serviço;;14;string;12341234123412;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].products[0].code;code;SIM;Listagem de código de identificação do produto (vide seção 3 do Manual de Dados e Serviços) que possui atendimento pelo prestador de serviço.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].products[0].coverage[0];coverage;NÃO;;;150;string;;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].postalAddress[0].address;address;SIM;Deverá trazer toda a informação referente ao endereço do intermediário: Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver), como, p.ex.: 'R Diamantina, 59, bloco 35, fundos’ 'Praça da Boa Vontade s/n';;150;string;'Rua Diamantina, 59, bloco 35' Praça da Boa Vontade, s/n;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/referenced-network/{countrySubDivision}/{serviceType};get - 200;Obtem a lista dos produtos do tipo Rede Referenciada;Obtem a lista dos produtos do tipo Rede Referenciada;.data.brand.companies[0].identification[0].postalAddress[0].additionalInfo;additionalInfo;NÃO;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';;30;string;Loja B;;;
