title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas;;74;string;INSTALACOES_FIXAS;INSTALACOES_FIXAS, TRANSPORTE_AMBIENTAL, OBRAS_E_PRESTACAO_DE_SERVICO, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;"Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos""";;3000;string;descrição cobertura;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;2;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;5;string;REAL;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.insuredParticipation[0];insuredParticipation;SIM;;;13;string;FRANQUIA;FRANQUIA, POS, NAO_SE_APLICA;;
APIs Open Data do Open Insurance Brasil;1.0.0;/environmental-liability/;get - 200;Obtem a lista dos produtos do tipo EnvironmentalLiability;Obtem a lista dos produtos do tipo EnvironmentalLiability;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.insuredParticipationDescription;insuredParticipationDescription;NÃO;Lista com descrição referente ao campo “Participação do Segurado” para cada cobertura.;;1024;string;;;;
