title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.name;name;SIM;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;ACME Group Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ACME Seguros;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].name;name;NÃO;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;Produto de Seguro;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;100;string;01234589-0;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Listagem de coberturas incluídas no produto que deve observar a relação discriminada de coberturas, conforme Tabela II.12 do Anexo II;;148;string;ALAGAMENTO_INUNDACAO;ALAGAMENTO_INUNDACAO, ALUGUEL_PERDA_OU_PAGAMENTO, ANUNCIOS_LUMINOSOS, BAGAGEM, BASICA_INCENDIO_RAIO_EXPLOSAO, BASICA_DANOS_MATERIAIS, BASICA_DE_OBRAS_CIVIS_EM_CONSTRUCAO_E_INSTALACOES_E_MONTAGENS, BENS_DE_TERCEIROS_EM_PODER_DO_SEGURADO, CARGA_DESCARGA_ICAMENTO_E_DESCIDA, DANOS_ELETRICOS, DANOS_NA_FABRICACAO, DERRAME_D’AGUA_OU_OUTRA_SUBSTANCIA_LIQUIDA_DE_INSTALACOES_DE_CHUVEIROS_AUTOMATICOS_SPRINKLERS, DESMORONAMENTO, DESPESAS_ADICIONAIS_OUTRAS_DESPESAS, DESPESAS_EXTRAORDINARIAS, DESPESAS_FIXA, DETERIORACAO_DE_MERCADORIAS_EM_AMBIENTES_FRIGORIFICADOS, EQUIPAMENTOS_ARRENDADOS, EQUIPAMENTOS_CEDIDOS_A_TERCEIROS, EQUIPAMENTOS_CINEMATOGRAFICOS_FOTOGRAFICOS_DE_AUDIO_E_VIDEO, EQUIPAMENTOS_ELETRONICOS, EQUIPAMENTOS_DIVERSOS_OUTRAS_MODALIDADES, EQUIPAMENTOS_ESTACIONARIOS, EQUIPAMENTOS_MOVEIS, EQUIPAMENTOS_PORTATEIS_, FIDELIDADE_DE_EMPREGADOS, HONORARIOS_DE_PERITOS, IMPACTO_DE_VEICULOS_E_QUEDA_DE_AERONAVES, IMPACTO_DE_VEICULOS_TERRESTRES, LINHAS_DE_TRANSMISSAO_E_DISTRIBUICAO, LUCROS_CESSANTES, MOVIMENTACAO_INTERNA_DE_MERCADORIAS, PATIOS, QUEBRA_DE_MAQUINAS, QUEBRA_DE_VIDROS_ESPELHOS_MARMORES_E_GRANITOS, RECOMPOSICAO_DE_REGISTROS_E_DOCUMENTOS, ROUBO_DE_BENS_DE_HOSPEDES, ROUBO_DE_VALORES_EM_TRANSITO_EM_MAOS_DE_PORTADOR, ROUBO_E_FURTO_MEDIANTE_ARROMBAMENTO, ROUBO_E_OU_FURTO_QUALIFICADO_DE_VALORES_NO_INTERIOR_DO_ESTABELECIMENTO_DENTRO_E_OU_FORA_DE_COFRES_FORTES_OU_CAIXAS_FORTES, TERRORISMO_E_SABOTAGEM, TUMULTOS_GREVES_LOCKOUT_E_ATOS_DOLOSOS, VAZAMENTO_DE_TUBULACOES_E_TANQUES, VAZAMENTO_DE_TUBULACOES_HIDRAULICAS, VENDAVAL_FURACAO_CICLONE_TORNADO_GRANIZO_QUEDA_DE_AERONAVES_OU_QUAISQUER_OUTROS_ENGENHOS_AEREOS_OU_ESPACIAIS_IMPACTO_DE_VEICULOS_TERRESTRES_E_FUMACA, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].coverages[0].coverageDescription;coverageDescription;SIM;Campo aberto para detalhamento de cada uma das coberturas possíveis dos produtos;;3000;string;descrição cobertura;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;2;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.0.0;/named-operational-risks/;get - 200;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;Obtem a lista dos produtos do tipo Riscos Nomeados e Operacionais;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.description;description;SIM;;;5;string;REAL;;;
