title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.name;name;SIM;Nome da marca reportada pelo participante do Open Insurance. O conceito a que se refere a marca é em essência uma promessa das sociedades sob ela em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;;string;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;;string;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;;string;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;;string;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;;string;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;SIM;Conjunto de riscos elencados na apólice.;;;string;VIDROS;CASCO_COMPREENSIVA_COLISAO_INCENDIO_ROUBO_FURTO, CASCO_INCENDIO_ROUBO_FURTO, CASCO_ROUBO_FURTO, CASCO_INCENDIO, CASCO_ALAGAMENTO, CASCO_COLISAO_INDENIZACAO_PARCIAL, CASCO_COLISAO_INDENIZACAO_INTEGRAL, RESPONSABILIDADE_CIVIL_FACULTATIVA_VEICULOS_RCFV, RESPONSABILIDADE_CIVIL_FACULTATIVA_CONDUTOR_RCFC, ACIDENTE_PESSOAIS_PASSAGEIROS_VEICULO, ACIDENTE_PESSOAIS_PASSAGEIROS_CONDUTOR, VIDROS, DIARIA_INDISPONIBILIDADE, LFR_LANTERNAS_FAROIS_RETROVISORES, ACESSORIOS_EQUIPAMENTOS, CARRO_RESERVA, PEQUENOS_REPAROS, RESPONSABILIDADE_CIVIL_CARTA_VERDE, VOUCHER_MOBILIDADE, DESPESAS_EXTRAORDINARIAS, GARANTIA_MECANICA, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].coverages[0].coverageDetail;coverageDetail;SIM;Campo aberto para detalhamento de riscos possíveis dos produtos a ser feito para cada participante.;;1000;string;Roubo total;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].coverages[0].coveragePermissionSeparteAcquisition;coveragePermissionSeparteAcquisition;SIM;Indicação se a cobertura permite contratação separada (por cobertura selecionada).;;;boolean;true;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.minLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/auto-insurance/{commercializationArea}/{fipeCode}/{year};get - 200;Obtém informações de seguros de automóveis;Obtém informações de seguros de automóveis;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.minLMI.unit.code;code;SIM;;;;string;;;;
