title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.name;name;SIM;Nome da marca reportada pelo participante do Open Insurance. O conceito a que se refere a marca é em essência uma promessa das sociedades sob ela em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;80;string;EMPRESA A seguros;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].name;name;SIM;Nome da sociedade pertencente à marca.;;80;string;ABCDE SEGUROS;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;14;string;12345678901234;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;80;string;RESIDENCIAL XPTO;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].code;code;SIM;Código único a ser definido pela sociedade.;;80;string;0000-0;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageType;coverageType;SIM;Nome do tipo da cobertura.;;1000;string;Escritório em Residência;IMOVEL_BASICA, IMOVEL_AMPLA, DANOS_ELETRICOS, DANOS_POR_AGUA, ALAGAMENTO, RESPONSABILIDADE_CIVIL_FAMILIAR, RESPONSABILIDADE_CIVIL_DANOS_MORAIS, ROUBO_SUBTRACAO_BENS, ROUBO_SUBTRACAO_BENS_FORA_LOCAL_SEGURADO, TACOS_GOLFE_HOLE_ONE, PEQUENAS_REFORMAS_OBRAS, GREVES_TUMULTOS_LOCKOUT, MICROEMPREENDEDOR, ESCRITORIO_RESIDENCIA, DANOS_EQUIPAMENTOS_ELETRONICOS, QUEBRA_VIDROS, IMPACTO_VEICULOS, VENDAVAL, PERDA_PAGAMENTO_ALUGUEL, BICICLETA, RESPONSABILIDADE_CIVIL_BICICLETA, RC_EMPREGADOR, DESMORONAMENTO, DESPESAS_EXTRAORDINARIAS, JOIAS_OBRAS_ARTE, TERREMOTO, IMPACTO_AERONAVES, PAISAGISMO, INCENDIO, QUEDA_RAIO, EXPLOSAO, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageDetail;coverageDetail;SIM;Campo aberto para detalhamento por coberturas possíveis dos produtos a ser feito por cada participante.;;1000;string;Cobertura especial para escritório residenciais;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coveragePermissionSeparteAquisition;coveragePermissionSeparteAquisition;SIM;Indicação se a cobertura permite contratação separada (por cobertura selecionada).;;;boolean;;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageAttributes.minLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageAttributes.minLMI.unit.code;code;SIM;;;;string;R$;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageAttributes.minLMI.unit.description;description;SIM;;;;string;REAL;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageAttributes.maxLMI.amount;amount;SIM;;;;number;;;;
APIs Open Data do Open Insurance Brasil;1.1.0;/home-insurance/commercializationArea/{commercializationArea};get - 200;Obtém informações de seguros redidenciais;Obtém informações de seguros residenciais;.data.brand.company[0].products[0].coverages[0].coverageAttributes.maxLMI.unit.code;code;SIM;;;;string;R$;;;
