title;version;path;method;descriptionEndpoint;summaryEndpoint;currentPath;fieldName;required;descriptionField;minLength;maxLength;type;example;exampleModel;format;pattern
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.name;name;SIM;Nome da marca reportada pelo participante do Open Insurance. O conceito a que se refere a marca é em essência uma promessa das sociedades sob ela em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;;;string;Marca;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].name;name;SIM;Nome da sociedade pertencente à marca.;;;string;Seguradora;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].cnpjNumber;cnpjNumber;SIM;CNPJ da sociedade pertencente à marca.;;;string;45086338000178;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].name;name;SIM;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;;;string;Seguro Pessoal;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].code;code;SIM;Código único a ser definido pela sociedade (código interno do produto) a critério da participante.;;;string;123456789_cap;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].category;category;SIM;Indica a categoria do Produto;;;string;;TRADICIONAL, MICROSEGURO;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].insuranceModality;insuranceModality;SIM;;;;string;FUNERAL;FUNERAL, PRESTAMISTA, VIAGEM, EDUCACIONAL, DOTAL, ACIDENTES_PESSOAIS, VIDA, PERDA_CERTIFICADO_HABILITACAOO_VOO, DOENCAS_GRAVES_DOENCA_TERMINAL, DESEMPREGO_PERDA_RENDA, EVENTOS_ALEATORIOS;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].coverages[0].coverage;coverage;NÃO;;;;string;AUXILIO_CESTA_BASICA;ADIANTAMENTO_DOENCA_ESTAGIO_TERMINAL, AUXILIO_CESTA_BASICA, AUXILIO_FINANCEIRO_IMEDIATO, CANCELAMENTO_DE_VIAGEM, CIRURGIA, COBERTURA_PARA_HERNIA, COBERTURA_PARA_LER_DORT, CUIDADOS_PROLONGADOS_ACIDENTE, DESEMPREGO_PERDA_DE_RENDA, DESPESAS_EXTRA_INVALIDEZ_PERMANENTE_TOTAL_PARCIAL_ACIDENTE_DEI, DESPESAS_EXTRA_MORTE_DEM, DESPESAS_MEDICAS_HOSPITALARES_ODONTOLOGICAS, DESPESAS_MEDICAS_HOSPITALARES_ODONTOLOGICAS_BRASIL, DESPESAS_MEDICAS_HOSPITALARES_ODONTOLOGICAS_EXTERIOR, DIARIA_INCAPACIDADE_TOTAL_TEMPORARIA, DIARIA_INTERNACAO_HOSPITALAR, INTERNACAO_HOSPITALAR, DIARIAS_INCAPACIDADE_PECUNIARIA_DIP, DOENCA_GRAVE, DOENCA_CONGENITA_FILHOS_DCF, FRATURA_OSSEA, DOENCAS_TROPICAIS, INCAPACIDADE_TOTAL_OU_TEMPORARIA, INVALIDEZ_PERMANENTE_TOTAL_PARCIAL, INVALIDEZ_TOTAL_ACIDENTE, INVALIDEZ_PARCIAL_ACIDENTE, INVALIDEZ_FUNCIONAL_PERMANENTE_DOENCA, INVALIDEZ_LABORATIVA_DOENCA, MORTE, MORTE_ACIDENTAL, MORTE_CONJUGE, MORTE_FILHOS, MORTE_ADIATAMENTO_DOENCA_ESTAGIO_TERMINAL, PAGAMENTO_ANTECIPADO_ESPECIAL_DOENCA_PROFISSIONAL_PAED, PERDA_DA_AUTONOMIA_PESSOAL, PERDA_INVOLUNTARIA_EMPREGO, QUEIMADURA_GRAVE, REGRESSO_ANTECIPADO_SANITARIO, RENDA_INCAPACIDADE_TEMPORARIA, RESCISAO_CONTRATUAL_CASO_MORTE_RCM, RESCISAO_TRABALHISTA, SERVICO_AUXILIO_FUNERAL, SOBREVIVENCIA, TRANSPLANTE_ORGAOS, TRANSLADO, TRANSLADO_MEDICO, TRANSLADO_CORPO, VERBA_RESCISORIA, OUTRAS;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].coverages[0].coverageOthers[0];coverageOthers;NÃO;;;;string;;;;
APIs Open Data do Open Insurance Brasil;1.2.0;/person/;get - 200;Obtém a lista dos produtos do tipo seguro de pessoas.;Obtém a lista dos produtos do tipo seguro de pessoas.;.data.brand.companies[0].products[0].coverages[0].coverageAttributes.indemnityPaymentMethod[0];indemnityPaymentMethod;SIM;;;;string;PAGAMENTO_CAPITAL_SEGURADO_VALOR_MONETARIO;PAGAMENTO_CAPITAL_SEGURADO_VALOR_MONETARIO, REEMBOLSO_DESPESAS, PRESTACAO_SERVICOS;;
